"profile_name","workbooks","last_publish","workbook_screenshot","workbook_thumbnail","last_publish_datetime"
"deepdata","https://public.tableau.com/profile/deepdata#!/vizhome/WBABelt-Boxing/Boxing-WBA",1605206260326,"https://public.tableau.com/static/images/WB/WBABelt-Boxing/Boxing-WBA/1.png","https://public.tableau.com/thumb/views/WBABelt-Boxing/Boxing-WBA",2020-11-12 18:37:40
"matthew.williams3773","https://public.tableau.com/profile/matthew.williams3773#!/vizhome/KeyboardasaParameter/Dashboard1",1605200384294,"https://public.tableau.com/static/images/Ke/KeyboardasaParameter/Dashboard1/1.png","https://public.tableau.com/thumb/views/KeyboardasaParameter/Dashboard1",2020-11-12 16:59:44
"matt.chambers","https://public.tableau.com/profile/matt.chambers#!/vizhome/redvsblue-RepublicanDemocratVoting/redvsblueRepublicanandDemocrat",1605133581124,"https://public.tableau.com/static/images/re/redvsblue-RepublicanDemocratVoting/redvsblue:RepublicanandDemocrat/1.png","https://public.tableau.com/thumb/views/redvsblue-RepublicanDemocratVoting/redvsblue:RepublicanandDemocrat",2020-11-11 22:26:21
"ant.pulley","https://public.tableau.com/profile/ant.pulley#!/vizhome/NintendoSwitchSalesAdventure/SwitchSales",1605131541659,"https://public.tableau.com/static/images/Ni/NintendoSwitchSalesAdventure/SwitchSales/1.png","https://public.tableau.com/thumb/views/NintendoSwitchSalesAdventure/SwitchSales",2020-11-11 21:52:21
"cj.mayes","https://public.tableau.com/profile/cj.mayes#!/vizhome/CircularSankeyTemplateVizConnect/CircularSankey",1605130001462,"https://public.tableau.com/static/images/Ci/CircularSankeyTemplateVizConnect/CircularSankey/1.png","https://public.tableau.com/thumb/views/CircularSankeyTemplateVizConnect/CircularSankey",2020-11-11 21:26:41
"lindsay.betzendahl","https://public.tableau.com/profile/lindsay.betzendahl#!/vizhome/BillboardTop100The1Hits/BILLBOARD",1605128171556,"https://public.tableau.com/static/images/Bi/BillboardTop100The1Hits/BILLBOARD/1.png","https://public.tableau.com/thumb/views/BillboardTop100The1Hits/BILLBOARD",2020-11-11 20:56:11
"soha.elghany","https://public.tableau.com/profile/soha.elghany#!/vizhome/Book1_16051131229260/Dashboard1",1605117161879,"https://public.tableau.com/static/images/Bo/Book1_16051131229260/Dashboard1/1.png","https://public.tableau.com/thumb/views/Book1_16051131229260/Dashboard1",2020-11-11 17:52:41
"sam.batchelor","https://public.tableau.com/profile/sam.batchelor#!/vizhome/NintendoSwitch-MM2020W45Yoshi/YoshiSoftwarebyRegionfor2020",1605069944003,"https://public.tableau.com/static/images/Ni/NintendoSwitch-MM2020W45Yoshi/YoshiSoftwarebyRegionfor2020/1.png","https://public.tableau.com/thumb/views/NintendoSwitch-MM2020W45Yoshi/YoshiSoftwarebyRegionfor2020",2020-11-11 04:45:44
"priyanka.dobhal0993","https://public.tableau.com/profile/priyanka.dobhal0993#!/vizhome/WebScraping101/HTML",1605033659088,"https://public.tableau.com/static/images/We/WebScraping101/HTML/1.png","https://public.tableau.com/thumb/views/WebScraping101/HTML",2020-11-10 18:40:59
"anjushreebv","https://public.tableau.com/profile/anjushreebv#!/vizhome/PopularDogBreedsRadialbumpchart/PopularDogBreedsV1",1605018926918,"https://public.tableau.com/static/images/Po/PopularDogBreedsRadialbumpchart/PopularDogBreedsV1/1.png","https://public.tableau.com/thumb/views/PopularDogBreedsRadialbumpchart/PopularDogBreedsV1",2020-11-10 14:35:26
"mariana.boger.netto","https://public.tableau.com/profile/mariana.boger.netto#!/vizhome/USelectionsHistoricalMajoritybyState1952-2020/USElections",1604994503092,"https://public.tableau.com/static/images/US/USelectionsHistoricalMajoritybyState1952-2020/USElections/1.png","https://public.tableau.com/thumb/views/USelectionsHistoricalMajoritybyState1952-2020/USElections",2020-11-10 07:48:23
