"profile_name","workbooks","last_publish","workbook_screenshot.original_url","workbook_screenshot.viz_img","workbook_thumbnail.original_url","workbook_thumbnail.viz_img","last_publish_datetime"
"autumnbattani","https://public.tableau.com/profile/autumnbattani#!/vizhome/DiversityinFilm-TheLastDecadeofPopularMovies/FilmDiversity",1605072164133,"https://public.tableau.com/profile/autumnbattani#!/vizhome/DiversityinFilm-TheLastDecadeofPopularMovies/FilmDiversity","https://public.tableau.com/static/images/Di/DiversityinFilm-TheLastDecadeofPopularMovies/FilmDiversity/1.png","https://public.tableau.com/profile/autumnbattani#!/vizhome/DiversityinFilm-TheLastDecadeofPopularMovies/FilmDiversity","https://public.tableau.com/thumb/views/DiversityinFilm-TheLastDecadeofPopularMovies/FilmDiversity",2020-11-11 05:22:44
"alaina.prevot","https://public.tableau.com/profile/alaina.prevot#!/vizhome/MakeoverMondayWeek45-DedicatedVideoGameUnitSales/NintendoSwitchUnitSales",1605056113503,"https://public.tableau.com/profile/alaina.prevot#!/vizhome/MakeoverMondayWeek45-DedicatedVideoGameUnitSales/NintendoSwitchUnitSales","https://public.tableau.com/static/images/Ma/MakeoverMondayWeek45-DedicatedVideoGameUnitSales/NintendoSwitchUnitSales/1.png","https://public.tableau.com/profile/alaina.prevot#!/vizhome/MakeoverMondayWeek45-DedicatedVideoGameUnitSales/NintendoSwitchUnitSales","https://public.tableau.com/thumb/views/MakeoverMondayWeek45-DedicatedVideoGameUnitSales/NintendoSwitchUnitSales",2020-11-11 00:55:13
"cj.mayes","https://public.tableau.com/profile/cj.mayes#!/vizhome/MensTennisGrandSlamWinners2000-2020/GrandSlamWinners",1605049887409,"https://public.tableau.com/profile/cj.mayes#!/vizhome/MensTennisGrandSlamWinners2000-2020/GrandSlamWinners","https://public.tableau.com/static/images/Me/MensTennisGrandSlamWinners2000-2020/GrandSlamWinners/1.png","https://public.tableau.com/profile/cj.mayes#!/vizhome/MensTennisGrandSlamWinners2000-2020/GrandSlamWinners","https://public.tableau.com/thumb/views/MensTennisGrandSlamWinners2000-2020/GrandSlamWinners",2020-11-10 23:11:27
"anjushreebv","https://public.tableau.com/profile/anjushreebv#!/vizhome/PopularDogBreedsRadialbumpchart/PopularDogBreedsV1",1605018926918,"https://public.tableau.com/profile/anjushreebv#!/vizhome/PopularDogBreedsRadialbumpchart/PopularDogBreedsV1","https://public.tableau.com/static/images/Po/PopularDogBreedsRadialbumpchart/PopularDogBreedsV1/1.png","https://public.tableau.com/profile/anjushreebv#!/vizhome/PopularDogBreedsRadialbumpchart/PopularDogBreedsV1","https://public.tableau.com/thumb/views/PopularDogBreedsRadialbumpchart/PopularDogBreedsV1",2020-11-10 14:35:26
"james.goodall","https://public.tableau.com/profile/james.goodall#!/vizhome/COVID-19_15852394154580/COVID-19inEngland-Overview",1604995814353,"https://public.tableau.com/profile/james.goodall#!/vizhome/COVID-19_15852394154580/COVID-19inEngland-Overview","https://public.tableau.com/static/images/CO/COVID-19_15852394154580/COVID-19inEngland-Overview/1.png","https://public.tableau.com/profile/james.goodall#!/vizhome/COVID-19_15852394154580/COVID-19inEngland-Overview","https://public.tableau.com/thumb/views/COVID-19_15852394154580/COVID-19inEngland-Overview",2020-11-10 08:10:14
"alaina.prevot","https://public.tableau.com/profile/alaina.prevot#!/vizhome/AlainaPrevotResume/AlainaPrevotResume",1604955228291,"https://public.tableau.com/profile/alaina.prevot#!/vizhome/AlainaPrevotResume/AlainaPrevotResume","https://public.tableau.com/static/images/Al/AlainaPrevotResume/AlainaPrevotResume/1.png","https://public.tableau.com/profile/alaina.prevot#!/vizhome/AlainaPrevotResume/AlainaPrevotResume","https://public.tableau.com/thumb/views/AlainaPrevotResume/AlainaPrevotResume",2020-11-09 20:53:48
"francisco4773","https://public.tableau.com/profile/francisco4773#!/vizhome/NintendoSwitchSales_16048582502830/Final",1604928577605,"https://public.tableau.com/profile/francisco4773#!/vizhome/NintendoSwitchSales_16048582502830/Final","https://public.tableau.com/static/images/Ni/NintendoSwitchSales_16048582502830/Final/1.png","https://public.tableau.com/profile/francisco4773#!/vizhome/NintendoSwitchSales_16048582502830/Final","https://public.tableau.com/thumb/views/NintendoSwitchSales_16048582502830/Final",2020-11-09 13:29:37
"eve.thomas","https://public.tableau.com/profile/eve.thomas#!/vizhome/DIGITALGENDERGAP-MakeoverMonday/Dashboard2",1604837780322,"https://public.tableau.com/profile/eve.thomas#!/vizhome/DIGITALGENDERGAP-MakeoverMonday/Dashboard2","https://public.tableau.com/static/images/DI/DIGITALGENDERGAP-MakeoverMonday/Dashboard2/1.png","https://public.tableau.com/profile/eve.thomas#!/vizhome/DIGITALGENDERGAP-MakeoverMonday/Dashboard2","https://public.tableau.com/thumb/views/DIGITALGENDERGAP-MakeoverMonday/Dashboard2",2020-11-08 12:16:20
"jasmine.lim","https://public.tableau.com/profile/jasmine.lim#!/vizhome/BWWIP/Dashboard",1604805732308,"https://public.tableau.com/profile/jasmine.lim#!/vizhome/BWWIP/Dashboard","https://public.tableau.com/static/images/BW/BWWIP/Dashboard/1.png","https://public.tableau.com/profile/jasmine.lim#!/vizhome/BWWIP/Dashboard","https://public.tableau.com/thumb/views/BWWIP/Dashboard",2020-11-08 03:22:12
"cj.mayes","https://public.tableau.com/profile/cj.mayes#!/vizhome/FACupWinners1871-2020/FACupWinners",1604688831864,"https://public.tableau.com/profile/cj.mayes#!/vizhome/FACupWinners1871-2020/FACupWinners","https://public.tableau.com/static/images/FA/FACupWinners1871-2020/FACupWinners/1.png","https://public.tableau.com/profile/cj.mayes#!/vizhome/FACupWinners1871-2020/FACupWinners","https://public.tableau.com/thumb/views/FACupWinners1871-2020/FACupWinners",2020-11-06 18:53:51
