workbookRepoUrl,title,defaultViewName,viewCount,numberOfFavorites,authorDisplayName,authorProfileName,defaultViewRepoUrl,profileName,VOTD_flag
SAVETHETURTLES_16648951124440,SAVE  THE  TURTLES!!,Dashboard1,95,1,YusukeNakanishi,yusukenakanishi,SAVETHETURTLES_16648951124440/sheets/Dashboard1,yusukenakanishi,
MOM2023W26MostPressuredtoDrinkwithWorkmates_16880325891750,MOM2023W26:Most Pressured to Drink with Workmates,Dashboard1,36,0,YusukeNakanishi,yusukenakanishi,MOM2023W26MostPressuredtoDrinkwithWorkmates_16880325891750/sheets/Dashboard1,yusukenakanishi,
WOW2023_W26_AntarcticIceExtent,WOW2023_W26_Antarctic Ice Extent,Dashboard1,15,0,YusukeNakanishi,yusukenakanishi,WOW2023_W26_AntarcticIceExtent/sheets/Dashboard1,yusukenakanishi,
MOM2023W25DivorcesinEnglandWales_16879310844640,MOM2023W25:Divorces in England & Wales,Dashboard1,21,0,YusukeNakanishi,yusukenakanishi,MOM2023W25DivorcesinEnglandWales_16879310844640/sheets/Dashboard1,yusukenakanishi,
WOW2023_W25_Canyoucalculateapercentdifferencebetweenarangeofdates,WOW2023_W25_Can you calculate a percent difference between a range of dates?,1_1,18,0,YusukeNakanishi,yusukenakanishi,WOW2023_W25_Canyoucalculateapercentdifferencebetweenarangeofdates/sheets/1_1,yusukenakanishi,
ElectrocardiogramQUICKDataDesignChallenge2023,Electrocardiogram(QUICK Data Design Challenge 2023),goalforpublic,28,0,YusukeNakanishi,yusukenakanishi,ElectrocardiogramQUICKDataDesignChallenge2023/sheets/goalforpublic,yusukenakanishi,
MOM2023W24Globalcerealproduction,MOM2023W24:Global cereal production,Dashboard1,36,1,YusukeNakanishi,yusukenakanishi,MOM2023W24Globalcerealproduction/sheets/Dashboard1,yusukenakanishi,
WOW2023_W24_CanyoubuildamobileKPIapp,WOW2023_W24_Can you build a mobile KPI app?,Dashboard1,17,0,YusukeNakanishi,yusukenakanishi,WOW2023_W24_CanyoubuildamobileKPIapp/sheets/Dashboard1,yusukenakanishi,
WOW2023_W14_Howshortarebaseballgamesin2023,WOW2023_W14_How short are baseball games in 2023?,Dashboard1,38,0,YusukeNakanishi,yusukenakanishi,WOW2023_W14_Howshortarebaseballgamesin2023/sheets/Dashboard1,yusukenakanishi,
WOW2023_W23_CanYouCompareStateSalesPart2,WOW2023_W23_Can You Compare State Sales? Part 2,Dashboard3,20,0,YusukeNakanishi,yusukenakanishi,WOW2023_W23_CanYouCompareStateSalesPart2/sheets/Dashboard3,yusukenakanishi,
MELBORNEpedestriancountingsystemdata2009-2022,MELBOURNE pedestrian counting system data 2009-2022,Dashboard1,11,0,YusukeNakanishi,yusukenakanishi,MELBORNEpedestriancountingsystemdata2009-2022/sheets/Dashboard1,yusukenakanishi,
MOM2023W22DogBitesinNYC,MOM2023W22:Dog Bites in NYC,Dashboard1,26,0,YusukeNakanishi,yusukenakanishi,MOM2023W22DogBitesinNYC/sheets/Dashboard1,yusukenakanishi,
WOW2023_W22_FilteringandHighlighting,WOW2023_W22_Filtering and Highlighting,Dashboard1,5,0,YusukeNakanishi,yusukenakanishi,WOW2023_W22_FilteringandHighlighting/sheets/Dashboard1,yusukenakanishi,
MOM2023W21FDAProductRecalls,MOM2023W21:FDA Product Recalls,Dashboard1,39,0,YusukeNakanishi,yusukenakanishi,MOM2023W21FDAProductRecalls/sheets/Dashboard1,yusukenakanishi,
WOW2023_W21_ProfitvsTargetwithTolerance,WOW2023_W21_Profit vs Target (with Tolerance),Dashboard1,14,0,YusukeNakanishi,yusukenakanishi,WOW2023_W21_ProfitvsTargetwithTolerance/sheets/Dashboard1,yusukenakanishi,
